	tissue	age	sex	age_sex	tissue_age	condition	sample
Heart_10-m-21	Heart	21	m	21_m	Heart_21	Heart_m-21	Heart_10-m-21
Heart_11-m-18	Heart	18	m	18_m	Heart_18	Heart_m-18	Heart_11-m-18
Heart_12-m-24	Heart	24	m	24_m	Heart_24	Heart_m-24	Heart_12-m-24
Heart_13-m-15	Heart	15	m	15_m	Heart_15	Heart_m-15	Heart_13-m-15
Heart_14-m-18	Heart	18	m	18_m	Heart_18	Heart_m-18	Heart_14-m-18
Heart_15-m-27	Heart	27	m	27_m	Heart_27	Heart_m-27	Heart_15-m-27
Heart_16-m-3	Heart	3	m	3_m	Heart_3	Heart_m-3	Heart_16-m-3
Heart_17-m-15	Heart	15	m	15_m	Heart_15	Heart_m-15	Heart_17-m-15
Heart_18-f-18	Heart	18	f	18_f	Heart_18	Heart_f-18	Heart_18-f-18
Heart_1-f-12	Heart	12	f	12_f	Heart_12	Heart_f-12	Heart_1-f-12
Heart_20-f-9	Heart	9	f	9_f	Heart_9	Heart_f-9	Heart_20-f-9
Heart_21-m-24	Heart	24	m	24_m	Heart_24	Heart_m-24	Heart_21-m-24
Heart_22-m-3	Heart	3	m	3_m	Heart_3	Heart_m-3	Heart_22-m-3
Heart_23-m-15	Heart	15	m	15_m	Heart_15	Heart_m-15	Heart_23-m-15
Heart_24-m-27	Heart	27	m	27_m	Heart_27	Heart_m-27	Heart_24-m-27
Heart_26-m-3	Heart	3	m	3_m	Heart_3	Heart_m-3	Heart_26-m-3
Heart_27-m-12	Heart	12	m	12_m	Heart_12	Heart_m-12	Heart_27-m-12
Heart_28-m-1	Heart	1	m	1_m	Heart_1	Heart_m-1	Heart_28-m-1
Heart_29-m-12	Heart	12	m	12_m	Heart_12	Heart_m-12	Heart_29-m-12
Heart_2-m-3	Heart	3	m	3_m	Heart_3	Heart_m-3	Heart_2-m-3
Heart_30-m-21	Heart	21	m	21_m	Heart_21	Heart_m-21	Heart_30-m-21
Heart_31-m-9	Heart	9	m	9_m	Heart_9	Heart_m-9	Heart_31-m-9
Heart_32-f-15	Heart	15	f	15_f	Heart_15	Heart_f-15	Heart_32-f-15
Heart_34-m-9	Heart	9	m	9_m	Heart_9	Heart_m-9	Heart_34-m-9
Heart_35-m-6	Heart	6	m	6_m	Heart_6	Heart_m-6	Heart_35-m-6
Heart_36-m-12	Heart	12	m	12_m	Heart_12	Heart_m-12	Heart_36-m-12
Heart_37-f-12	Heart	12	f	12_f	Heart_12	Heart_f-12	Heart_37-f-12
Heart_38-f-21	Heart	21	f	21_f	Heart_21	Heart_f-21	Heart_38-f-21
Heart_39-m-1	Heart	1	m	1_m	Heart_1	Heart_m-1	Heart_39-m-1
Heart_3-m-6	Heart	6	m	6_m	Heart_6	Heart_m-6	Heart_3-m-6
Heart_40-f-1	Heart	1	f	1_f	Heart_1	Heart_f-1	Heart_40-f-1
Heart_41-m-27	Heart	27	m	27_m	Heart_27	Heart_m-27	Heart_41-m-27
Heart_42-m-1	Heart	1	m	1_m	Heart_1	Heart_m-1	Heart_42-m-1
Heart_43-f-9	Heart	9	f	9_f	Heart_9	Heart_f-9	Heart_43-f-9
Heart_44-m-27	Heart	27	m	27_m	Heart_27	Heart_m-27	Heart_44-m-27
Heart_45-f-18	Heart	18	f	18_f	Heart_18	Heart_f-18	Heart_45-f-18
Heart_46-f-21	Heart	21	f	21_f	Heart_21	Heart_f-21	Heart_46-f-21
Heart_47-m-9	Heart	9	m	9_m	Heart_9	Heart_m-9	Heart_47-m-9
Heart_49-f-6	Heart	6	f	6_f	Heart_6	Heart_f-6	Heart_49-f-6
Heart_4-m-21	Heart	21	m	21_m	Heart_21	Heart_m-21	Heart_4-m-21
Heart_50-m-15	Heart	15	m	15_m	Heart_15	Heart_m-15	Heart_50-m-15
Heart_51-m-6	Heart	6	m	6_m	Heart_6	Heart_m-6	Heart_51-m-6
Heart_52-m-9	Heart	9	m	9_m	Heart_9	Heart_m-9	Heart_52-m-9
Heart_53-f-15	Heart	15	f	15_f	Heart_15	Heart_f-15	Heart_53-f-15
Heart_54-m-21	Heart	21	m	21_m	Heart_21	Heart_m-21	Heart_54-m-21
Heart_55-m-12	Heart	12	m	12_m	Heart_12	Heart_m-12	Heart_55-m-12
Heart_56-m-6	Heart	6	m	6_m	Heart_6	Heart_m-6	Heart_56-m-6
Heart_5-m-18	Heart	18	m	18_m	Heart_18	Heart_m-18	Heart_5-m-18
Heart_6-m-24	Heart	24	m	24_m	Heart_24	Heart_m-24	Heart_6-m-24
Heart_7-m-24	Heart	24	m	24_m	Heart_24	Heart_m-24	Heart_7-m-24
Heart_8-m-1	Heart	1	m	1_m	Heart_1	Heart_m-1	Heart_8-m-1
Heart_9-f-3	Heart	3	f	3_f	Heart_3	Heart_f-3	Heart_9-f-3
