	tissue	age	sex	age_sex	tissue_age	condition	sample
Kidney_10-m-9	Kidney	9	m	9_m	Kidney_9	Kidney_m-9	Kidney_10-m-9
Kidney_11-f-3	Kidney	3	f	3_f	Kidney_3	Kidney_f-3	Kidney_11-f-3
Kidney_12-m-12	Kidney	12	m	12_m	Kidney_12	Kidney_m-12	Kidney_12-m-12
Kidney_13-m-21	Kidney	21	m	21_m	Kidney_21	Kidney_m-21	Kidney_13-m-21
Kidney_14-m-27	Kidney	27	m	27_m	Kidney_27	Kidney_m-27	Kidney_14-m-27
Kidney_15-m-24	Kidney	24	m	24_m	Kidney_24	Kidney_m-24	Kidney_15-m-24
Kidney_16-f-18	Kidney	18	f	18_f	Kidney_18	Kidney_f-18	Kidney_16-f-18
Kidney_17-m-1	Kidney	1	m	1_m	Kidney_1	Kidney_m-1	Kidney_17-m-1
Kidney_18-m-9	Kidney	9	m	9_m	Kidney_9	Kidney_m-9	Kidney_18-m-9
Kidney_19-f-15	Kidney	15	f	15_f	Kidney_15	Kidney_f-15	Kidney_19-f-15
Kidney_1-f-6	Kidney	6	f	6_f	Kidney_6	Kidney_f-6	Kidney_1-f-6
Kidney_20-m-27	Kidney	27	m	27_m	Kidney_27	Kidney_m-27	Kidney_20-m-27
Kidney_21-m-15	Kidney	15	m	15_m	Kidney_15	Kidney_m-15	Kidney_21-m-15
Kidney_22-m-6	Kidney	6	m	6_m	Kidney_6	Kidney_m-6	Kidney_22-m-6
Kidney_23-m-3	Kidney	3	m	3_m	Kidney_3	Kidney_m-3	Kidney_23-m-3
Kidney_24-m-12	Kidney	12	m	12_m	Kidney_12	Kidney_m-12	Kidney_24-m-12
Kidney_25-m-9	Kidney	9	m	9_m	Kidney_9	Kidney_m-9	Kidney_25-m-9
Kidney_26-m-15	Kidney	15	m	15_m	Kidney_15	Kidney_m-15	Kidney_26-m-15
Kidney_27-f-12	Kidney	12	f	12_f	Kidney_12	Kidney_f-12	Kidney_27-f-12
Kidney_28-m-1	Kidney	1	m	1_m	Kidney_1	Kidney_m-1	Kidney_28-m-1
Kidney_29-m-21	Kidney	21	m	21_m	Kidney_21	Kidney_m-21	Kidney_29-m-21
Kidney_2-f-21	Kidney	21	f	21_f	Kidney_21	Kidney_f-21	Kidney_2-f-21
Kidney_30-m-18	Kidney	18	m	18_m	Kidney_18	Kidney_m-18	Kidney_30-m-18
Kidney_31-m-6	Kidney	6	m	6_m	Kidney_6	Kidney_m-6	Kidney_31-m-6
Kidney_32-f-3	Kidney	3	f	3_f	Kidney_3	Kidney_f-3	Kidney_32-f-3
Kidney_33-m-15	Kidney	15	m	15_m	Kidney_15	Kidney_m-15	Kidney_33-m-15
Kidney_34-m-27	Kidney	27	m	27_m	Kidney_27	Kidney_m-27	Kidney_34-m-27
Kidney_35-f-21	Kidney	21	f	21_f	Kidney_21	Kidney_f-21	Kidney_35-f-21
Kidney_36-f-1	Kidney	1	f	1_f	Kidney_1	Kidney_f-1	Kidney_36-f-1
Kidney_37-m-24	Kidney	24	m	24_m	Kidney_24	Kidney_m-24	Kidney_37-m-24
Kidney_38-m-21	Kidney	21	m	21_m	Kidney_21	Kidney_m-21	Kidney_38-m-21
Kidney_39-m-18	Kidney	18	m	18_m	Kidney_18	Kidney_m-18	Kidney_39-m-18
Kidney_40-f-12	Kidney	12	f	12_f	Kidney_12	Kidney_f-12	Kidney_40-f-12
Kidney_41-m-24	Kidney	24	m	24_m	Kidney_24	Kidney_m-24	Kidney_41-m-24
Kidney_42-f-15	Kidney	15	f	15_f	Kidney_15	Kidney_f-15	Kidney_42-f-15
Kidney_43-f-18	Kidney	18	f	18_f	Kidney_18	Kidney_f-18	Kidney_43-f-18
Kidney_44-m-1	Kidney	1	m	1_m	Kidney_1	Kidney_m-1	Kidney_44-m-1
Kidney_45-f-9	Kidney	9	f	9_f	Kidney_9	Kidney_f-9	Kidney_45-f-9
Kidney_46-f-1	Kidney	1	f	1_f	Kidney_1	Kidney_f-1	Kidney_46-f-1
Kidney_47-m-3	Kidney	3	m	3_m	Kidney_3	Kidney_m-3	Kidney_47-m-3
Kidney_49-m-3	Kidney	3	m	3_m	Kidney_3	Kidney_m-3	Kidney_49-m-3
Kidney_4-m-18	Kidney	18	m	18_m	Kidney_18	Kidney_m-18	Kidney_4-m-18
Kidney_50-m-27	Kidney	27	m	27_m	Kidney_27	Kidney_m-27	Kidney_50-m-27
Kidney_51-m-9	Kidney	9	m	9_m	Kidney_9	Kidney_m-9	Kidney_51-m-9
Kidney_52-f-6	Kidney	6	f	6_f	Kidney_6	Kidney_f-6	Kidney_52-f-6
Kidney_53-m-18	Kidney	18	m	18_m	Kidney_18	Kidney_m-18	Kidney_53-m-18
Kidney_54-m-6	Kidney	6	m	6_m	Kidney_6	Kidney_m-6	Kidney_54-m-6
Kidney_55-m-12	Kidney	12	m	12_m	Kidney_12	Kidney_m-12	Kidney_55-m-12
Kidney_56-f-9	Kidney	9	f	9_f	Kidney_9	Kidney_f-9	Kidney_56-f-9
Kidney_5-m-6	Kidney	6	m	6_m	Kidney_6	Kidney_m-6	Kidney_5-m-6
Kidney_6-m-12	Kidney	12	m	12_m	Kidney_12	Kidney_m-12	Kidney_6-m-12
Kidney_7-m-15	Kidney	15	m	15_m	Kidney_15	Kidney_m-15	Kidney_7-m-15
